"";"gender";"religious_attendance";"age";"faith";"education";"family_status";"economical_status";"code";"HSPS_1";"HSPS_2";"HSPS_3";"HSPS_4";"HSPS_5";"HSPS_6";"HSPS_7";"HSPS_8";"HSPS_9";"HSPS_10";"HSPS_11";"HSPS_12";"HSPS_13";"HSPS_14";"HSPS_15";"HSPS_16";"HSPS_17";"HSPS_18";"HSPS_19";"HSPS_20";"HSPS_21";"HSPS_22";"HSPS_23";"HSPS_24";"HSPS_25";"HSPS_26";"HSPS_27";"DSES_1";"DSES_2";"DSES_3";"DSES_4";"DSES_5";"DSES_6";"DSES_7";"DSES_8";"DSES_9";"DSES_10";"DSES_11";"DSES_12";"DSES_13";"DSES_14";"DSES_15";"BFI_N_1";"BFI_N_2";"BFI_N_3";"BFI_N_4";"BFI_N_5";"BFI_N_6";"BFI_N_7";"BFI_N_8";"TEQ_1";"TEQ_3";"TEQ_5";"TEQ_16";"TEQ_CON_2";"TEQ_CON_4";"TEQ_CON_14";"senisitivity_1";"senisitivity_2";"senisitivity_3";"senisitivity_4";"senisitivity_5";"senisitivity_6";"senisitivity_7";"senisitivity_8";"senisitivity_9";"senisitivity_10";"emotions_1";"emotions_2";"emotions_3";"emotions_4";"emotions_5";"emotions_6";"emotions_7";"emotions_8";"emotions_9";"emotions_10";"cov_topics1_1";"cov_topics1_2";"cov_topics1_3";"cov_topics1_4";"cov_topics1_5";"cov_topics1_6";"cov_topics1_7";"cov_topics1_8";"cov_topics1_9";"cov_topics2_1";"cov_topics2_2";"cov_topics2_3";"cov_topics2_4";"cov_topics2_5";"cov_topics2_6";"cov_topics2_7";"cov_topics2_8";"cov_topics2_9";"cov_topics2_10";"cov_topics2_11";"cov_topics2_12";"cov_topics2_13";"cov_topics2_14"
"1";"Male";"Occasionaly";77;NA;"Vocational school or non - maturity high school";"Married";"Not working pensioner";"00502bcb31ebdad572e7d9c8d00e011a";1;4;4;4;1;4;4;7;4;4;4;7;7;1;4;4;7;7;4;1;4;4;4;4;4;7;7;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;3;3;3;3;3;1;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;6;5;0;5;5;5;5;5;5;5;5;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";"Male";"Occasionaly";53;NA;"Vocational school or non - maturity high school";"Married";"Employed";"00d061112e99a5a265f5211953ef9eb6";4;5;3;3;4;2;2;3;1;4;1;5;6;5;4;5;4;1;5;6;5;2;5;1;1;2;7;2;3;4;4;3;1;1;1;1;2;1;2;2;1;2;1;5;2;2;5;2;5;1;NA;NA;NA;NA;NA;NA;NA;5;5;2;7;6;3;2;5;5;3;2;1;3;3;3;4;6;2;2;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3";"Female";"Never";38;NA;"University master or higher";"Married";"Maternity leave";"00d1931652dffb62ed65272b9023436b";2;4;5;2;2;1;2;4;5;3;5;7;5;2;2;5;6;6;4;5;5;3;4;2;5;7;4;3;2;2;2;3;2;1;1;2;3;2;4;3;1;1;1;4;4;4;2;3;4;2;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;6;5;4;5;5;6;7;5;5;7;3;6;9;6;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"Female";"Never";44;NA;"Vocational school or non - maturity high school";"Divorced";"Maternity leave";"01154e8e0a1a2b3a833f807c8e914241";4;2;4;2;2;4;2;3;3;3;2;5;2;4;3;3;3;4;2;2;4;4;3;3;2;2;3;2;2;1;2;2;2;1;1;2;1;1;3;2;2;2;1;4;3;2;3;3;3;3;NA;NA;NA;NA;NA;NA;NA;3;1;3;4;3;2;1;3;3;2;6;5;4;3;0;1;3;1;6;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";"Female";"Never";26;NA;"University master or higher";"Unmarried";"Employed";"015df42d55315a9a12eb1aa88b4727b3";4;4;5;2;1;1;1;5;4;4;4;5;4;2;2;4;6;3;1;7;4;7;1;4;5;5;5;1;6;1;1;3;1;1;1;1;2;1;1;2;1;1;3;3;3;3;3;4;3;4;NA;NA;NA;NA;NA;NA;NA;5;6;6;5;5;4;7;3;5;5;5;4;5;6;5;5;5;5;6;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6";"Male";"Never";27;NA;"Vocational school or non - maturity high school";"Married";"Employed";"023ec3e4e5ececf2c3e87ff6df7347a9";4;5;4;1;4;1;2;5;5;5;2;6;3;1;5;2;6;1;2;6;4;7;1;5;4;6;1;4;4;4;4;3;2;4;3;2;4;4;4;4;4;3;1;3;2;3;3;3;3;2;NA;NA;NA;NA;NA;NA;NA;5;6;6;9;3;10;3;2;8;3;7;6;8;5;5;5;5;2;7;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"Female";"Never";32;NA;"Vocational school or non - maturity high school";"Married";"Employed";"0283edd56362679ce85ffbce5ce19933";4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;1;1;1;2;2;2;2;2;2;2;3;3;3;4;1;5;3;4;5;4;3;2;1;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;5;7;5;5;5;5;5;6;5;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8";"Female";"Never";65;NA;"High school";"Married";"Not working pensioner";"048b228c93f4254bbc639577a812d67b";2;3;4;4;1;1;4;4;2;2;1;6;1;3;4;4;4;5;1;1;4;2;2;4;2;4;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;NA;NA;NA;NA;NA;NA;NA;10;5;5;5;5;5;5;5;5;5;6;5;6;5;5;7;7;6;7;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"9";"Male";"Never";77;NA;"High school";"Married";"Not working pensioner";"04df8dc5b9d5b36ac706ef7cda32e084";3;3;1;4;1;1;2;4;6;4;1;4;3;2;1;4;4;4;4;1;4;4;4;4;6;4;3;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;2;2;3;2;1;1;2;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";"Male";"Occasionaly";55;NA;"High school";"Married";"Entrepreneur without employes";"09bd0f9efcf84ef7ef705f9ac4684b09";4;5;4;2;2;2;2;3;5;4;2;6;3;5;4;6;6;3;2;3;4;6;3;6;4;3;4;2;3;1;2;2;2;1;1;1;1;4;2;2;2;2;2;4;3;3;4;4;3;4;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;5;7;3;4;4;5;5;5;8;5;5;6;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
